tailnum,manufacturer,model
N349AA,AEROSPATIALE,AS 355F1
N380AA,AEROSPATIALE,AS 355F1
N632AS,AEROSPATIALE,ATR 72-212
N633AS,AEROSPATIALE,ATR 72-212
N634AS,AEROSPATIALE,ATR 72-212
N635AS,AEROSPATIALE,ATR 72-212
N636AS,AEROSPATIALE,ATR 72-212
N637AS,AEROSPATIALE,ATR 72-212
N630AS,AEROSPATIALE/ALENIA,ATR-72-212
N631AS,AEROSPATIALE/ALENIA,ATR-72-212
N640AS,AEROSPATIALE/ALENIA,ATR-72-212
N641AS,AEROSPATIALE/ALENIA,ATR-72-212
N642AS,AEROSPATIALE/ALENIA,ATR-72-212
N643AS,AEROSPATIALE/ALENIA,ATR-72-212
N201FR,AIRBUS,A320-214
N345NB,AIRBUS,A319-114
N673AW,AIRBUS,A320-232
N813NW,AIRBUS,A330-323
N834AW,AIRBUS,A319-132
N835AW,AIRBUS,A319-132
N940FR,AIRBUS,A319-111
N202FR,AIRBUS,A320-214
N703JB,AIRBUS,A320-232
N705JB,AIRBUS,A320-232
N706JB,AIRBUS,A320-232
N651JB,AIRBUS,A320-232
N652JB,AIRBUS,A320-232
N653JB,AIRBUS,A320-232
N655JB,AIRBUS,A320-232
N656JB,AIRBUS,A320-232
N657JB,AIRBUS,A320-232
N658JB,AIRBUS,A320-232
N659JB,AIRBUS,A320-232
N661JB,AIRBUS,A320-232
N662JB,AIRBUS,A320-232
N663JB,AIRBUS,A320-232
N665JB,AIRBUS,A320-232
N808FR,AIRBUS,A318-111
N809FR,AIRBUS,A318-111
N810FR,AIRBUS,A318-111
N812FR,AIRBUS,A318-111
N814NW,AIRBUS,A330-323
N815NW,AIRBUS,A330-323
N816NW,AIRBUS,A330-323
N817NW,AIRBUS,A330-323
N818NW,AIRBUS,A330-323
N819NW,AIRBUS,A330-323
N820NW,AIRBUS,A330-323
N821NW,AIRBUS,A330-323
N950FR,AIRBUS,A319-111
N632JB,AIRBUS,A320-232
N633JB,AIRBUS,A320-232
N634JB,AIRBUS,A320-232
N635JB,AIRBUS,A320-232
N636JB,AIRBUS,A320-232
N637JB,AIRBUS,A320-232
N638JB,AIRBUS,A320-232
N639JB,AIRBUS,A320-232
N640JB,AIRBUS,A320-232
N641JB,AIRBUS,A320-232
N643JB,AIRBUS,A320-232
N644JB,AIRBUS,A320-232
N645JB,AIRBUS,A320-232
N646JB,AIRBUS,A320-232
N648JB,AIRBUS,A320-232
N649JB,AIRBUS,A320-232
N812NW,AIRBUS,A330-323
N839AW,AIRBUS,A319-132
N840AW,AIRBUS,A319-132
N859NW,AIRBUS,A330-223
N944FR,AIRBUS,A319-111
N945FR,AIRBUS,A319-111
N946FR,AIRBUS,A319-111
N947FR,AIRBUS,A319-111
N948FR,AIRBUS,A319-111
N949FR,AIRBUS,A319-111
N603JB,AIRBUS,A320-232
N605JB,AIRBUS,A320-232
N606JB,AIRBUS,A320-232
N607JB,AIRBUS,A320-232
N608JB,AIRBUS,A320-232
N612JB,AIRBUS,A320-232
N613JB,AIRBUS,A320-232
N615JB,AIRBUS,A320-232
N618JB,AIRBUS,A320-232
N621JB,AIRBUS,A320-232
N623JB,AIRBUS,A320-232
N624JB,AIRBUS,A320-232
N625JB,AIRBUS,A320-232
N627JB,AIRBUS,A320-232
N629JB,AIRBUS,A320-232
N630JB,AIRBUS,A320-232
N674AW,AIRBUS,A320-232
N675AW,AIRBUS,A320-232
N676AW,AIRBUS,A320-232
N677AW,AIRBUS,A320-232
N678AW,AIRBUS,A320-232
N679AW,AIRBUS,A320-232
N680AW,AIRBUS,A320-232
N809NW,AIRBUS,A330-323
N810NW,AIRBUS,A330-323
N811NW,AIRBUS,A330-323
N836AW,AIRBUS,A319-132
N837AW,AIRBUS,A319-132
N838AW,AIRBUS,A319-132
N936FR,AIRBUS,A319-111
N937FR,AIRBUS,A319-111
N938FR,AIRBUS,A319-111
N939FR,AIRBUS,A319-111
N941FR,AIRBUS,A319-112
N942FR,AIRBUS,A319-111
N943FR,AIRBUS,A319-112
N583JB,AIRBUS,A320-232
N585JB,AIRBUS,A320-232
N586JB,AIRBUS,A320-232
N587JB,AIRBUS,A320-232
N588JB,AIRBUS,A320-232
N589JB,AIRBUS,A320-232
N590JB,AIRBUS,A320-232
N591JB,AIRBUS,A320-232
N592JB,AIRBUS,A320-232
N593JB,AIRBUS,A320-232
N594JB,AIRBUS,A320-232
N595JB,AIRBUS,A320-232
N597JB,AIRBUS,A320-232
N598JB,AIRBUS,A320-232
N599JB,AIRBUS,A320-232
N672AW,AIRBUS,A320-232
N805FR,AIRBUS,A318-111
N806FR,AIRBUS,A318-111
N806NW,AIRBUS,A330-323
N807FR,AIRBUS,A318-111
N807NW,AIRBUS,A330-323
N808NW,AIRBUS,A330-323
N852NW,AIRBUS,A330-223
N853NW,AIRBUS,A330-223
N854NW,AIRBUS,A330-223
N855NW,AIRBUS,A330-223
N856NW,AIRBUS,A330-223
N857NW,AIRBUS,A330-223
N925FR,AIRBUS,A319-111
N926FR,AIRBUS,A319-111
N927FR,AIRBUS,A319-111
N928FR,AIRBUS,A319-111
N929FR,AIRBUS,A319-111
N930FR,AIRBUS,A319-111
N931FR,AIRBUS,A319-111
N932FR,AIRBUS,A319-111
N933FR,AIRBUS,A319-111
N934FR,AIRBUS,A319-111
N935FR,AIRBUS,A319-111
N358NB,AIRBUS,A319-114
N359NB,AIRBUS,A319-114
N360NB,AIRBUS,A319-114
N361NB,AIRBUS,A319-114
N362NB,AIRBUS,A319-114
N363NB,AIRBUS,A319-114
N364NB,AIRBUS,A319-114
N365NB,AIRBUS,A319-114
N366NB,AIRBUS,A319-114
N368NB,AIRBUS,A319-114
N369NB,AIRBUS,A319-114
N370NB,AIRBUS,A319-114
N371NB,AIRBUS,A319-114
N377NW,AIRBUS,A320-211
N378NW,AIRBUS,A320-211
N558JB,AIRBUS,A320-232
N559JB,AIRBUS,A320-232
N561JB,AIRBUS,A320-232
N562JB,AIRBUS,A320-232
N563JB,AIRBUS,A320-232
N564JB,AIRBUS,A320-232
N565JB,AIRBUS,A320-232
N566JB,AIRBUS,A320-232
N568JB,AIRBUS,A320-232
N569JB,AIRBUS,A320-232
N570JB,AIRBUS,A320-232
N571JB,AIRBUS,A320-232
N579JB,AIRBUS,A320-232
N580JB,AIRBUS,A320-232
N581JB,AIRBUS,A320-232
N582JB,AIRBUS,A320-232
N601AW,AIRBUS,A320-232
N801FR,AIRBUS,A318-111
N801NW,AIRBUS,A330-323
N802FR,AIRBUS,A318-111
N802NW,AIRBUS,A330-323
N803FR,AIRBUS,A318-111
N803NW,AIRBUS,A330-323
N804FR,AIRBUS,A318-111
N804NW,AIRBUS,A330-323
N805NW,AIRBUS,A330-323
N917FR,AIRBUS,A319-111
N918FR,AIRBUS,A319-111
N919FR,AIRBUS,A319-111
N920FR,AIRBUS,A319-111
N921FR,AIRBUS,A319-111
N922FR,AIRBUS,A319-111
N923FR,AIRBUS,A319-111
N924FR,AIRBUS,A319-111
N186US,AIRBUS,A321-211
N187US,AIRBUS,A321-211
N188US,AIRBUS,A321-211
N338NB,AIRBUS,A319-114
N339NB,AIRBUS,A319-114
N340NB,AIRBUS,A319-114
N341NB,AIRBUS,A319-114
N342NB,AIRBUS,A319-114
N343NB,AIRBUS,A319-114
N344NB,AIRBUS,A319-114
N346NB,AIRBUS,A319-114
N347NB,AIRBUS,A319-114
N348NB,AIRBUS,A319-114
N349NB,AIRBUS,A319-114
N351NB,AIRBUS,A319-114
N352NB,AIRBUS,A319-114
N353NB,AIRBUS,A319-114
N354NB,AIRBUS,A319-114
N355NB,AIRBUS,A319-114
N357NB,AIRBUS,A319-114
N375NC,AIRBUS,A320-212
N376NW,AIRBUS,A320-212
N489UA,AIRBUS,A320-232
N490UA,AIRBUS,A320-232
N491UA,AIRBUS,A320-232
N492UA,AIRBUS,A320-232
N493UA,AIRBUS,A320-232
N494UA,AIRBUS,A320-232
N495UA,AIRBUS,A320-232
N496UA,AIRBUS,A320-232
N497UA,AIRBUS,A320-232
N498UA,AIRBUS,A320-232
N546JB,AIRBUS,A320-232
N547JB,AIRBUS,A320-232
N548JB,AIRBUS,A320-232
N550JB,AIRBUS,A320-232
N552JB,AIRBUS,A320-232
N554JB,AIRBUS,A320-232
N556JB,AIRBUS,A320-232
N668AW,AIRBUS,A320-232
N669AW,AIRBUS,A320-232
N833AW,AIRBUS,A319-132
N851UA,AIRBUS,A319-131
N852UA,AIRBUS,A319-131
N853UA,AIRBUS,A319-131
N854UA,AIRBUS,A319-131
N855UA,AIRBUS,A319-131
N906FR,AIRBUS,A319-111
N907FR,AIRBUS,A319-112
N908FR,AIRBUS,A319-111
N909FR,AIRBUS,A319-111
N910FR,AIRBUS,A319-112
N912FR,AIRBUS,A319-111
N913FR,AIRBUS,A319-112
