iata,airport,city,state,country,man_res,runways,gates
00M,Thigpen ,Bay Springs,MS,USA,1,1,1
00R,Livingston Municipal,Livingston,TX,USA,2,2,2
00V,Meadow Lake,Colorado Springs,CO,USA,3,3,3
01G,Perry-Warsaw,Perry,NY,USA,4,4,4
01J,Hilliard Airpark,Hilliard,FL,USA,5,5,5
01M,Tishomingo County,Belmont,MS,USA,6,6,6
02A,Gragg-Wade ,Clanton,AL,USA,7,7,7
02C,Capitol,Brookfield,WI,USA,8,8,8
02G,Columbiana County,East Liverpool,OH,USA,9,9,9
03D,Memphis Memorial,Memphis,MO,USA,10,10,10
04M,Calhoun County,Pittsboro,MS,USA,11,11,11
04Y,Hawley Municipal,Hawley,MN,USA,12,12,12
05C,Griffith-Merrillville ,Griffith,IN,USA,13,13,13
05F,Gatesville - City/County,Gatesville,TX,USA,14,14,14
05U,Eureka,Eureka,NV,USA,15,15,15
06A,Moton  Municipal,Tuskegee,AL,USA,16,16,16
06C,Schaumburg,Chicago/Schaumburg,IL,USA,17,17,17
06D,Rolla Municipal,Rolla,ND,USA,18,18,18
06M,Eupora Municipal,Eupora,MS,USA,19,19,19
06N,Randall ,Middletown,NY,USA,20,20,20
06U,Jackpot/Hayden ,Jackpot,NV,USA,21,21,21
07C,Dekalb County,Auburn,IN,USA,22,22,22
07F,Gladewater Municipal,Gladewater,TX,USA,23,23,23
07G,Fitch H Beach,Charlotte,MI,USA,24,24,24
07K,Central City Municipal,Central City,NE,USA,25,25,25
08A,Wetumpka Municipal,Wetumpka,AL,USA,26,26,26
08D,Stanley Municipal,Stanley,ND,USA,27,27,27
08K,Harvard State,Harvard,NE,USA,28,28,28
08M,Carthage-Leake County,Carthage,MS,USA,29,29,29
09A,Butler-Choctaw County,Butler,AL,USA,30,30,30
09J,Jekyll Island,Jekyll Island,GA,USA,31,31,31
09K,Sargent Municipal,Sargent,NE,USA,32,32,32
09M,Charleston Municipal,Charleston,MS,USA,33,33,33
09W,South Capitol Street,Washington,DC,USA,34,34,34
0A3,Smithville Municipal,Smithville,TN,USA,35,35,35
0A8,Bibb County,Centreville,AL,USA,36,36,36
0A9,Elizabethton Municipal,Elizabethton,TN,USA,37,37,37
0AK,Pilot Station,Pilot Station,AK,USA,38,38,38
0B1,Col. Dyke ,Bethel,ME,USA,39,39,39
0B4,Hartington Municipal,Hartington,NE,USA,40,40,40
0B5,Turners Falls,Montague,MA,USA,41,41,41
0B7,Warren-Sugar Bush,Warren,VT,USA,42,42,42
0B8,Elizabeth ,Fishers Island,NY,USA,43,43,43
0C0,Dacy,Chicago/Harvard,IL,USA,44,44,44
0C4,Pender Municipal,Pender,NE,USA,45,45,45
0D1,South Haven Municipal,South Haven,MI,USA,46,46,46
0D8,Gettysburg Municipal,Gettysburg,SD,USA,47,47,47
0**,Moriarty,Moriarty,NM,USA,48,48,48
1**,Crownpoint,Crownpoint,NM,USA,49,49,49
0F2,Bowie Municipal,Bowie,TX,USA,50,50,50
0F4,Loup City Municipal,Loup City,NE,USA,51,51,51
0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,52,52,52
0F8,William R Pogue Municipal,Sand Springs,OK,USA,53,53,53
0F9,Tishomingo Airpark,Tishomingo,OK,USA,54,54,54
0G0,North Buffalo Suburban,Lockport,NY,USA,55,55,55
0G3,Tecumseh Municipal,Tecumseh,NE,USA,56,56,56
0G6,Williams County,Bryan,OH,USA,57,57,57
0G7,Finger Lakes Regional,Seneca Falls,NY,USA,58,58,58
0H1,Trego Wakeeney ,Wakeeney,KS,USA,59,59,59
0I8,Cynthiana-Harrison County,Cynthiana,KY,USA,60,60,60
0J0,Abbeville Municipal,Abbeville,AL,USA,61,61,61
0J4,Florala Municipal,Florala,AL,USA,62,62,62
